standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Consumer Discretionary,NHT,,,,,,,,,47.0,49.0,63.0,39.0
bics,bics_l1,Consumer Discretionary,NTL,80.0,63.0,77.0,98.0,100.0,,93.0,100.0,80.0,87.0,90.0,100.0
bics,bics_l1,Consumer Discretionary,NTT,19.0,,20.0,19.0,28.0,32.0,25.0,28.0,26.0,26.0,20.0,28.0
bics,bics_l1,Consumer Discretionary,OCH,28.0,31.0,46.0,32.0,23.0,20.0,77.0,26.0,87.0,47.0,46.0,72.0
bics,bics_l1,Consumer Discretionary,PAC,46.0,53.0,53.0,53.0,49.0,75.0,48.0,63.0,56.0,54.0,49.0,48.0
bics,bics_l1,Consumer Discretionary,PEG,,,,,36.0,80.0,,43.0,39.0,37.0,23.0,30.0
bics,bics_l1,Consumer Discretionary,PET,78.0,60.0,45.0,49.0,64.0,49.0,69.0,51.0,52.0,46.0,74.0,55.0
bics,bics_l1,Consumer Discretionary,PGT,,72.0,92.0,,95.0,59.0,44.0,45.0,100.0,56.0,42.0,56.0
bics,bics_l1,Consumer Discretionary,PNJ,100.0,86.0,89.0,88.0,100.0,91.0,80.0,88.0,100.0,56.0,72.0,89.0
bics,bics_l1,Consumer Discretionary,PPH,30.0,38.0,30.0,31.0,32.0,38.0,36.0,35.0,50.0,45.0,43.0,32.0
bics,bics_l1,Consumer Discretionary,PTB,79.0,67.0,49.0,70.0,47.0,77.0,55.0,59.0,49.0,63.0,52.0,43.0
bics,bics_l1,Consumer Discretionary,PTV,88.0,,,,,45.0,92.0,,,51.0,,
bics,bics_l1,Consumer Discretionary,PVR,,,,,,,25.0,,,22.0,,
bics,bics_l1,Consumer Discretionary,PXL,76.0,67.0,48.0,63.0,82.0,48.0,47.0,53.0,67.0,78.0,,
bics,bics_l1,Consumer Discretionary,QBS,42.0,48.0,36.0,47.0,38.0,43.0,30.0,46.0,44.0,37.0,29.0,33.0
bics,bics_l1,Consumer Discretionary,REE,86.0,86.0,86.0,89.0,93.0,100.0,98.0,79.0,73.0,69.0,59.0,54.0
